region_id,region_name_original,display_name_current,npa_match,lat,lng,name_changed,google_maps_name
248,"Thunderbird","Windsor Hills","",30.2813,-97.6192,YES,"Windsor Hills"
249,"Raintree Estates","Balcones Woods","",30.4180,-97.7563,YES,"Balcones Woods"
250,"Pilot Knob","Pilot Knob","",30.1591,-97.7102,,""
251,"University Hills West","Windsor Park — West","WINDSOR PARK",30.3138,-97.6812,YES,"Windsor Park"
252,"University Hills East","University Hills — East","UNIVERSITY HILLS",30.3171,-97.6723,YES,"University Hills"
253,"Walnut Bend","Walnut Bend","",30.3159,-97.6586,,""
254,"Austin-Bergstrom International Airport","Austin-Bergstrom International Airport","",30.1953,-97.6648,,""
256,"East Riverside - Oltorf","Pleasant Valley — Southeast #256","PLEASANT VALLEY",30.2245,-97.7156,YES,"Pleasant Valley"
257,"East Riverside - Heritage Oaks","East Riverside — West (Moderate)","RIVERSIDE",30.2353,-97.7279,YES,"East Riverside"
258,"East Congress","East Congress — Southwest","EAST CONGRESS",30.2123,-97.7617,YES,"East Congress"
259,"Garrison Park East","Garrison Park — West","GARRISON PARK",30.2079,-97.7941,YES,"Garrison Park"
260,"Armadillo Park","Garrison Park — East","GARRISON PARK",30.2060,-97.7863,YES,"Garrison Park"
261,"Franklin Park West","Franklin Park — Northwest","FRANKLIN PARK",30.2050,-97.7484,YES,"Franklin Park"
262,"William Cannon","Franklin Park — East (High Risk)","FRANKLIN PARK",30.1889,-97.7529,YES,"Franklin Park"
263,"Frankline Park East","Franklin Park — Southeast","FRANKLIN PARK",30.1954,-97.7397,YES,"Franklin Park"
264,"Comal Bluff","Southwood — East (Moderate)","",30.1907,-97.7584,YES,"Southwood"
265,"Parkridge Gardens","Southwood — Southwest","",30.1821,-97.7847,YES,"Southwood"
266,"Buckingham Estates","Southwood — Outer West","",30.1792,-97.8063,YES,"Southwood"
267,"Elmwood Estates","Southwood — Inner West","",30.1927,-97.8003,YES,"Southwood"
